9	11	12	14	15	16	17	18	19	19	19	19	19	18	17	16	16	15	14	13	11	10	9	8	8	7	7	7	7	7	6	6	5
10	12	13	14	15	16	17	18	18	18	18	18	18	17	17	16	15	14	13	12	10	9	8	7	7	7	7	8	8	7	7	6	5
11	12	14	15	15	16	16	16	17	17	17	17	17	17	16	16	15	14	13	11	10	8	7	7	6	7	7	7	7	7	7	6	5
11	13	14	15	15	15	15	15	15	16	17	17	18	18	17	17	16	15	14	12	10	8	7	6	6	6	6	7	7	7	6	6	5
12	13	14	14	15	14	14	14	15	16	17	19	20	21	21	21	20	19	17	15	12	10	8	6	5	5	5	6	6	6	6	6	5
12	13	13	14	14	14	14	14	15	17	20	23	25	27	28	29	28	27	24	21	17	13	10	7	6	5	5	5	5	5	5	5	5
11	12	13	13	13	13	14	15	17	21	25	30	35	38	41	42	41	39	36	31	25	19	14	10	7	5	4	4	4	4	5	5	6
11	11	12	12	12	13	14	17	21	27	34	42	49	55	60	62	61	58	53	46	38	29	21	15	10	6	5	4	4	4	5	5	6
10	10	10	11	12	13	16	20	27	36	46	58	69	78	84	87	86	82	75	65	54	42	31	21	14	9	6	4	4	4	5	5	6
9	9	9	10	11	14	19	25	35	48	62	78	92	105	113	117	116	111	102	89	74	58	43	30	20	12	7	5	4	4	5	5	6
8	8	8	9	12	16	22	32	45	61	80	100	118	134	144	149	148	142	130	114	96	77	58	41	27	17	10	6	4	4	4	5	6
7	7	7	9	12	18	27	40	56	76	99	122	144	162	174	180	179	171	158	140	119	96	73	53	35	22	13	8	5	4	4	5	6
6	6	7	9	13	21	32	47	67	90	116	142	167	186	200	206	205	197	183	164	141	115	89	65	44	28	17	10	6	5	5	5	6
6	5	6	9	15	24	37	55	77	103	131	159	185	206	220	227	226	219	204	185	160	132	104	77	53	34	21	12	7	5	5	5	6
5	5	6	10	16	27	42	61	85	113	143	172	199	221	235	242	242	234	220	200	175	146	116	86	60	39	24	14	9	6	5	5	6
5	5	6	10	17	29	45	65	91	120	151	181	208	230	245	252	251	244	230	210	185	156	124	93	66	43	27	16	9	6	5	5	6
5	5	6	10	18	29	46	67	94	123	154	185	213	235	249	255	255	248	234	214	189	160	128	97	69	45	28	16	10	6	5	5	6
5	5	6	10	17	29	45	67	93	122	154	184	212	234	248	255	254	245	231	212	187	158	127	97	68	45	28	16	10	6	5	5	6
5	4	5	9	16	27	43	63	89	117	148	178	205	227	241	247	246	237	222	203	179	151	122	92	66	43	27	16	10	6	5	5	6
5	4	5	8	14	24	38	57	81	108	137	165	192	213	227	233	231	221	207	188	165	139	112	85	60	40	25	15	9	6	6	6	6
5	4	4	6	11	20	32	49	70	94	120	147	171	192	205	211	209	200	185	167	146	122	98	74	53	35	22	13	9	6	6	6	7
5	4	4	5	9	15	25	39	56	77	100	123	146	165	178	183	182	173	160	143	124	103	82	62	44	30	19	12	8	7	6	7	7
6	5	4	4	6	11	18	29	43	59	78	98	117	134	146	152	151	143	132	117	100	83	66	50	35	24	16	11	8	7	7	7	8
7	5	4	4	5	8	13	20	30	42	57	73	89	103	114	120	119	113	104	91	78	64	50	38	28	19	13	10	8	7	8	8	9
7	6	5	4	4	6	9	13	20	28	39	51	63	75	84	89	90	86	78	68	58	47	38	29	21	15	11	9	8	8	8	9	9
8	7	5	5	4	5	6	9	13	18	25	33	42	51	59	63	64	62	56	49	42	34	28	22	17	13	10	9	9	9	9	9	9
8	7	6	5	5	5	5	6	8	11	15	21	27	34	39	43	44	43	40	35	30	25	21	17	14	12	10	9	9	9	9	9	9
8	8	7	6	6	5	5	5	6	8	10	13	17	22	26	28	30	29	28	25	22	19	16	14	12	11	10	10	10	10	10	10	9
8	8	7	7	7	6	6	6	6	6	7	9	12	15	17	19	21	21	20	19	17	16	14	13	12	11	11	10	10	10	10	9	9
7	8	8	8	7	7	7	6	6	6	7	8	10	12	13	15	16	16	16	15	15	14	13	12	11	11	11	10	10	10	10	9	8
7	7	8	8	8	8	7	7	7	7	8	8	10	11	12	13	14	14	14	14	13	13	12	12	11	11	11	10	10	10	9	8	8
7	7	8	8	8	8	8	8	8	8	9	10	11	12	13	13	13	13	13	13	13	13	12	12	11	11	10	10	10	9	9	8	7
6	7	7	8	8	9	9	9	9	10	10	11	12	13	14	14	14	14	13	13	13	13	12	12	11	11	10	9	9	8	8	7	7
